2025-04-26 14:45:47,857 INFO    MainThread:14793 [wandb_setup.py:_flush():67] Current SDK version is 0.19.9
2025-04-26 14:45:47,858 INFO    MainThread:14793 [wandb_setup.py:_flush():67] Configure stats pid to 14793
2025-04-26 14:45:47,858 INFO    MainThread:14793 [wandb_setup.py:_flush():67] Loading settings from /home/disi/.config/wandb/settings
2025-04-26 14:45:47,858 INFO    MainThread:14793 [wandb_setup.py:_flush():67] Loading settings from /home/disi/NLU-project/NLU/part_2A/wandb/settings
2025-04-26 14:45:47,858 INFO    MainThread:14793 [wandb_setup.py:_flush():67] Loading settings from environment variables
2025-04-26 14:45:47,858 INFO    MainThread:14793 [wandb_init.py:setup_run_log_directory():662] Logging user logs to /home/disi/NLU-project/NLU/part_2A/wandb/run-20250426_144547-xzml9ilb/logs/debug.log
2025-04-26 14:45:47,858 INFO    MainThread:14793 [wandb_init.py:setup_run_log_directory():663] Logging internal logs to /home/disi/NLU-project/NLU/part_2A/wandb/run-20250426_144547-xzml9ilb/logs/debug-internal.log
2025-04-26 14:45:47,858 INFO    MainThread:14793 [wandb_init.py:init():781] calling init triggers
2025-04-26 14:45:47,858 INFO    MainThread:14793 [wandb_init.py:init():786] wandb.init called with sweep_config: {}
config: {'learning_rate': 0.0001, 'batch_size_train': 128, 'batch_size_eval': 64, 'hidden_size': 200, 'embedding_size': 300, 'optimizer': 'Adam', 'epochs': 200, 'clip_gradient': 5.0, 'patience': 3, 'n_layers': 1, '_wandb': {}}
2025-04-26 14:45:47,858 INFO    MainThread:14793 [wandb_init.py:init():809] starting backend
2025-04-26 14:45:47,858 INFO    MainThread:14793 [wandb_init.py:init():813] sending inform_init request
2025-04-26 14:45:47,869 INFO    MainThread:14793 [backend.py:_multiprocessing_setup():101] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2025-04-26 14:45:47,869 INFO    MainThread:14793 [wandb_init.py:init():823] backend started and connected
2025-04-26 14:45:47,870 INFO    MainThread:14793 [wandb_init.py:init():915] updated telemetry
2025-04-26 14:45:47,889 INFO    MainThread:14793 [wandb_init.py:init():939] communicating run to backend with 90.0 second timeout
2025-04-26 14:45:48,327 INFO    MainThread:14793 [wandb_init.py:init():1014] starting run threads in backend
2025-04-26 14:45:48,376 INFO    MainThread:14793 [wandb_run.py:_console_start():2454] atexit reg
2025-04-26 14:45:48,377 INFO    MainThread:14793 [wandb_run.py:_redirect():2306] redirect: wrap_raw
2025-04-26 14:45:48,377 INFO    MainThread:14793 [wandb_run.py:_redirect():2371] Wrapping output streams.
2025-04-26 14:45:48,377 INFO    MainThread:14793 [wandb_run.py:_redirect():2394] Redirects installed.
2025-04-26 14:45:48,379 INFO    MainThread:14793 [wandb_init.py:init():1056] run started, returning control to user process
2025-04-26 14:48:02,145 INFO    MainThread:14793 [wandb_run.py:_finish():2189] finishing run gabriele-masciulli-university-of-trento/NLU-project-part-2A/xzml9ilb
2025-04-26 14:48:02,145 INFO    MainThread:14793 [wandb_run.py:_atexit_cleanup():2419] got exitcode: 0
2025-04-26 14:48:02,145 INFO    MainThread:14793 [wandb_run.py:_restore():2401] restore
2025-04-26 14:48:02,146 INFO    MainThread:14793 [wandb_run.py:_restore():2407] restore done
2025-04-26 14:48:03,121 INFO    MainThread:14793 [wandb_run.py:_footer_history_summary_info():4064] rendering history
2025-04-26 14:48:03,121 INFO    MainThread:14793 [wandb_run.py:_footer_history_summary_info():4096] rendering summary
2025-04-26 14:48:03,121 INFO    MainThread:14793 [wandb_run.py:_footer_sync_info():4025] logging synced files
